;2020Q4;2021Q4;2022Q4;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;LTM
"Дата отчета";24.06.2024;24.06.2024;24.06.2024;31.01.2024;31.01.2024;19.02.2024;15.05.2024;09.08.2024;08.11.2024;18.02.2025;14.05.2025;11.08.2025;01.11.2025;;01.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Чистый операц доход, млрд руб";;;;;;;37.3;32.4;47.0;38.9;41.5;48.3;45.6;;174.4
"Чист. проц. доходы, млрд руб";;;;;;;30.0;28.6;33.3;30.1;34.8;39.5;40.0;;144.4
"Чист. комисс. доход, млрд руб";;;;;;;1.44;1.76;2.10;1.95;2.36;3.48;3.18;;11.0
"Доходы по цб, млрд руб";;;;;;;0.712;-5.43;0.794;5.60;1.68;0.267;-6.81;;0.736
"Операционная прибыль, млрд руб";;;;;;;28.9;29.3;36.9;23.0;32.9;39.7;40.7;;136.3
"Чистая прибыль, млрд руб";;;;;;;16.6;17.4;24.0;7.67;15.6;23.4;23.1;;69.9
"Операционный денежный поток, млрд руб";;;;;;;-154.1;131.6;-291.4;306.9;-77.8;-66.8;-382.3;;-220.1
"Див доход, ао, %";0.0%;0.0%;0.0%;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
"Дивиденды/прибыль, %";;;;;;;0%;0%;0%;0%;0%;0%;0%;;0
"Опер. расходы, млрд руб";;;;;;;9.39;9.63;9.45;10.9;11.1;11.0;11.4;;44.3
"Амортизация, млрд руб";;;;;;;1.0;1.0;1.0;1.0;1.1;1.1;1.2;;4.4
"Расх на персонал, млрд руб";;;;;;;6.30;5.40;5.04;8.78;7.54;6.49;6.52;;29.3
"Процентные расходы, млрд руб";;;;;;;89.1;104.5;130.6;165.8;173.6;167.7;174.0;;681.1
"Создание резервов, млрд руб";;;;;;;3.81;1.19;6.81;6.59;6.74;4.75;9.13;;27.2
"Наличность, млрд руб";120.4;174.0;536.5;296.3;398.4;671.4;483.7;638.9;687.9;788.0;700.4;629.9;426.7;;426.7
"Чистый долг, млрд руб";-120.4;-174.0;-536.5;-296.3;-398.4;-671.4;-483.7;-638.9;-687.9;-788.0;-700.4;-629.9;-426.7;0.00;-426.7
"Активы банка, млрд руб";"1 332";"1 824";"2 857";"2 815";"3 269";"4 089";"4 175";"4 597";"5 140";"5 568";"5 491";"5 579";"5 809";;"5 809"
"Капитал, млрд руб";139.3;157.3;217.1;310.6;321.5;327.7;344.2;343.1;365.0;379.6;392.7;394.7;415.7;;415.7
"Кредитный портфель, млрд руб";"1 128";"1 461";"2 044";"2 147";"2 439";"2 918";"3 127";"3 351";"3 772";"3 867";"3 879";"4 026";"4 433";;"4 433"
"Кредиты юрлицам, млрд руб";59.3;73.1;165.6;224.1;228.3;229.6;330.1;371.5;394.4;502.4;461.7;523.4;600.9;;600.9
"Кредиты физлицам, млрд руб";"1 068";"1 388";"1 879";"1 923";"2 211";"2 688";"2 797";"2 980";"3 378";"3 364";"3 418";"3 503";"3 832";;"3 832"
"Депозиты, млрд руб";268.5;503.3;"1 112";"1 228";"1 481";"1 766";"1 989";"2 290";"2 435";"2 468";"2 543";"2 646";"2 847";;"2 847"
"Депозиты юрлиц, млрд руб";125.1;148.6;593.6;638.9;774.4;929.1;"1 109";"1 239";"1 335";"1 352";"1 355";"1 377";"1 469";;"1 469"
"Депозиты физлиц, млрд руб";143.4;354.7;518.3;589.8;706.7;836.4;880.1;"1 052";"1 100";"1 116";"1 187";"1 269";"1 378";;"1 378"
"Резервы под обесценивание, млрд руб";58.7;39.1;42.6;45.8;46.7;50.5;54.1;55.4;60.9;67.2;74.7;79.8;88.5;;88.5
"Стоимость риска (CoR), %";;;;;;;0.400%;0.300%;0.400%;0.500%;0.700%;0.600%;1.000%;;0.700%
"Расходы/Доходы (CIR), %";;;;;;;27.1%;28.3%;24.9%;26.4%;29.3%;25.6%;25.4%;;26.7%
"Loan-to-deposit ratio, %";420%;290%;184%;175%;165%;165%;157%;146%;155%;157%;153%;152%;156%;;156%
"Цена акции ао, руб";"1 400";"1 400";"1 400";;;"1 400";"1 400";"1 400";"1 400";"1 400";"1 400";"1 400";"1 400";"1 858";"2 067"
"Число акций ао, млн";63.9;63.9;99.6;;;161.8;161.8;161.8;161.8;161.8;161.8;161.8;179.9;179.9;179.9
"Free Float, %";;;;;;;;;;;;;10.1%;;10.1%
"Капитализация, млрд руб";89.5;89.5;139.5;0.00;0.00;226.5;226.5;226.5;226.5;226.5;226.5;226.5;251.8;334.3;371.8
"EV, млрд руб";-30.9;-84.5;-397.0;-296.3;-398.4;-444.9;-257.2;-412.4;-461.4;-561.5;-473.9;-403.4;-174.9;334.3;-54.9
"EPS, руб";0.00;0.00;0.00;;;0.00;102.9;107.2;148.0;47.4;96.6;144.8;128.6;0.00;388.4
"ROE, %";;;;;;;19.9%;20.3%;22.3%;18.7%;16.4%;20.3%;21.0%;;21.0%
"ROA, %";;;;;;;;;;1.4%;1.1%;1.4%;1.5%;;1.5%
"Чистая процентная маржа, %";;;;;;;3.00%;2.80%;2.80%;3.20%;3.20%;3.50%;3.70%;;3.40%
"Рентабельность банка, %";;;;;;;44.6%;53.5%;51.0%;19.7%;37.7%;48.5%;50.7%;;40.1%
P/E;;;;;;;13.6;6.66;3.91;3.45;3.51;3.20;3.60;5.37;5.32
P/B;0.64;0.57;0.64;0.00;0.00;0.69;0.66;0.66;0.62;0.60;0.58;0.57;0.61;;0.89
"Персонал, чел";"6 283";"6 954";"7 760";;;"8 297";;;;"8 722";"8 989";"9 115";"9 159";;"9 159"
"Производительность труда, млн руб/чел/год";0.00;0.00;0.00;;;0.00;;;;4.46;4.62;5.30;4.98;;19.0
"Расходы/чел/год, тыс.р";0.00;0.00;0.00;;;0.00;;;;"1 007";838.4;712.0;712.0;;"3 202"
